,Um,Ur,Ud,C_target
457,0.82224,0.87737,0.80086,0.0
458,0.82234,0.87753,0.80091,0.0
459,0.82249,0.87798,0.80091,0.0
460,0.82277,0.87813,0.80098,0.0
461,0.82289,0.87833,0.80102,0.0
462,0.82306,0.87856,0.80103,0.0
463,0.82325,0.87895,0.80111,0.0
464,0.82335,0.87913,0.80109,0.0
465,0.82354,0.87931,0.80114,0.0
466,0.82396,0.87967,0.80114,0.0
467,0.82403,0.87995,0.8012,0.0
468,0.8242,0.88022,0.80125,0.0
469,0.82428,0.8804,0.80125,0.0
470,0.82443,0.88076,0.80127,0.0
471,0.82454,0.88101,0.80131,0.0
472,0.82488,0.88127,0.80136,0.0
473,0.82503,0.8815,0.80144,0.0
474,0.82511,0.88178,0.80149,0.0
475,0.82537,0.88201,0.80147,0.0
476,0.82554,0.88202,0.80145,0.0
477,0.82559,0.88233,0.80153,0.0
478,0.82574,0.88265,0.80149,0.0
479,0.82599,0.88284,0.8016,0.0
480,0.82615,0.88296,0.8016,0.0
481,0.82629,0.88327,0.8016,0.0
482,0.82657,0.88351,0.80166,0.0
483,0.8266,0.8839,0.80168,0.0
484,0.82691,0.88396,0.80171,0.0
485,0.82678,0.88422,0.80176,0.0
486,0.82709,0.88444,0.80174,0.0
487,0.82736,0.88465,0.80179,0.0
488,0.8273,0.88483,0.80185,0.0
489,0.82747,0.885,0.80186,0.0
490,0.82754,0.88527,0.80188,0.0
491,0.82756,0.88543,0.80193,0.0
492,0.82792,0.88558,0.80188,0.0
493,0.82801,0.88579,0.80193,0.0
494,0.82816,0.88615,0.802,0.0
495,0.8283,0.88626,0.80202,0.0
496,0.82831,0.88644,0.80204,0.0
497,0.82851,0.88669,0.80203,0.0
498,0.8287,0.88691,0.80206,0.0
499,0.82869,0.88719,0.80212,0.0
500,0.82918,0.88737,0.80211,0.0
501,0.82911,0.88742,0.80216,0.0
502,0.82914,0.88771,0.80217,0.0
503,0.82925,0.88782,0.8022,0.0
504,0.82942,0.88794,0.80222,0.0
505,0.8295,0.88821,0.80226,0.0
506,0.82982,0.88831,0.80229,0.0
507,0.82974,0.88853,0.80231,0.0
508,0.82991,0.88872,0.80231,0.0
509,0.83007,0.88873,0.80233,0.0
510,0.83021,0.88921,0.80232,0.0
511,0.83016,0.88926,0.80232,0.0
512,0.83045,0.88947,0.80237,0.0
513,0.83053,0.88958,0.80246,0.0
514,0.8306,0.88976,0.80244,0.0
515,0.83075,0.88996,0.80244,0.0
516,0.83077,0.88992,0.80251,0.0
517,0.83102,0.89022,0.80249,0.0
518,0.83117,0.8905,0.80254,0.0
519,0.83129,0.89061,0.80253,0.0
520,0.83136,0.8908,0.80258,0.0
521,0.83156,0.89087,0.8026,0.0
522,0.83159,0.89093,0.80256,0.0
523,0.83169,0.89105,0.80265,0.0
524,0.83188,0.89121,0.80263,0.0
525,0.83183,0.89155,0.80267,0.0
526,0.83188,0.89161,0.80269,0.0
527,0.83201,0.89166,0.80273,0.0
528,0.8321,0.89197,0.80274,0.0
529,0.83215,0.8921,0.80273,0.0
530,0.83232,0.89216,0.80272,0.0
531,0.83247,0.89249,0.80276,0.0
532,0.83253,0.8926,0.80282,0.0
533,0.83268,0.89262,0.80284,0.0
534,0.8327,0.89287,0.80285,0.0
535,0.83283,0.8928,0.80282,0.0
536,0.83297,0.89289,0.80284,0.0
537,0.83315,0.89301,0.80283,0.0
538,0.83318,0.89329,0.8029,0.0
539,0.83311,0.89327,0.80291,0.0
540,0.83325,0.89339,0.80291,0.0
541,0.83342,0.89367,0.8029,0.0
542,0.83331,0.89378,0.80296,0.0
543,0.83345,0.89388,0.80293,0.0
544,0.83365,0.89413,0.80298,0.0
545,0.83362,0.89416,0.80295,0.0
546,0.83364,0.89422,0.80303,0.0
547,0.83394,0.89438,0.80305,0.0
548,0.83384,0.89455,0.80304,0.0
549,0.83406,0.89463,0.80308,0.0
550,0.83406,0.89474,0.80302,0.0
551,0.8341,0.89493,0.80309,0.0
552,0.83427,0.89492,0.80312,0.0
553,0.83432,0.89515,0.8031,0.0
554,0.83446,0.89524,0.80314,0.0
555,0.8345,0.8954,0.80317,0.0
556,0.83436,0.8955,0.80316,0.0
557,0.83457,0.89545,0.80317,0.0
558,0.83477,0.89576,0.80319,0.0
559,0.83495,0.89588,0.80319,0.0
560,0.8348,0.89588,0.80319,0.0
561,0.83505,0.89598,0.80324,0.0
562,0.8351,0.89605,0.80323,0.0
563,0.83516,0.89625,0.80326,0.0
564,0.83526,0.89642,0.80334,0.0
565,0.83508,0.89641,0.80328,0.0
566,0.83535,0.89632,0.8033,0.0
567,0.83534,0.89667,0.80331,0.0
568,0.83547,0.89675,0.80336,0.0
569,0.83546,0.89685,0.80331,0.0
570,0.83547,0.89687,0.80338,0.0
571,0.83565,0.897,0.80337,0.0
572,0.83581,0.89712,0.80339,0.0
573,0.83588,0.89736,0.80341,0.0
574,0.8359,0.89738,0.80338,0.0
575,0.83599,0.89749,0.80343,0.0
576,0.83596,0.89759,0.80343,0.0
577,0.83598,0.89751,0.80343,0.0
578,0.83613,0.89777,0.80348,0.0
579,0.83613,0.89784,0.80352,0.0
580,0.83615,0.89773,0.80351,0.0
581,0.83611,0.89807,0.80348,0.0
582,0.83648,0.89803,0.80349,0.0
583,0.83641,0.89815,0.80351,0.0
584,0.83652,0.89827,0.80357,0.0
585,0.83644,0.89834,0.80353,0.0
586,0.8366,0.8983,0.80351,0.0
587,0.83666,0.89835,0.8035,0.0
588,0.83655,0.89864,0.80349,0.0
589,0.83683,0.89875,0.8036,0.0
590,0.8369,0.89873,0.8036,0.0
591,0.83694,0.89894,0.8036,0.0
592,0.83696,0.89911,0.80361,0.0
593,0.83698,0.89892,0.80364,0.0
594,0.83706,0.89905,0.80361,0.0
595,0.837,0.89909,0.80363,0.0
596,0.83723,0.89916,0.80365,0.0
597,0.83717,0.8995,0.80363,0.0
598,0.83728,0.89941,0.80369,0.0
599,0.83741,0.89955,0.80367,0.0
600,0.83744,0.89952,0.80368,0.0
601,0.83738,0.89951,0.80373,0.0
602,0.83743,0.89974,0.80368,0.0
603,0.83745,0.89975,0.80371,0.0
604,0.83751,0.89974,0.80376,0.0
605,0.83759,0.89987,0.80376,0.0
606,0.83764,0.89987,0.80377,0.0
607,0.83788,0.90022,0.80382,0.0
608,0.83784,0.90011,0.80377,0.0
609,0.838,0.90022,0.80379,0.0
610,0.83788,0.90023,0.80382,0.0
611,0.83788,0.9003,0.80379,0.0
612,0.83802,0.90045,0.80381,0.0
613,0.83795,0.90052,0.80382,0.0
614,0.838,0.90051,0.80385,0.0
615,0.83816,0.9005,0.80383,0.0
616,0.8383,0.90061,0.8038,0.0
617,0.83827,0.90066,0.80381,0.0
618,0.83831,0.90087,0.80381,0.0
619,0.83826,0.90071,0.80384,0.0
620,0.83836,0.90094,0.80389,0.0
621,0.8385,0.90097,0.8039,0.0
