,C,Um,Ur,Ud,C_target
5237,22.621233,0.7025,0.70201,0.77641,1.8
5238,56.576042,0.70244,0.70202,0.77641,1.8
5239,124.83551,0.70242,0.70218,0.77646,1.8
5240,-98.485542,0.70301,0.70238,0.77656,1.8
5241,-46.340599,0.7029,0.70237,0.77658,1.8
5242,-13.425367,0.703,0.70261,0.77662,1.8
5243,70.613266,0.70296,0.70283,0.77663,1.8
5244,84.648415,0.7031,0.70307,0.77662,1.8
5245,-101.759621,0.70336,0.70288,0.77663,1.8
5246,-10.304771,0.70329,0.70304,0.77661,1.8
5247,-75.095535,0.70352,0.70319,0.77662,1.8
5248,-15.008933,0.70338,0.70317,0.77665,1.8
5249,-36.92025,0.7034,0.70313,0.77664,1.8
5250,-56.007267,0.70341,0.70309,0.77658,1.8
5251,-61.042328,0.70336,0.70299,0.77659,1.8
5252,68.660568,0.70308,0.70299,0.77657,1.8
5253,49.56707,0.70306,0.7029,0.77653,1.8
5254,-52.516483,0.70308,0.70261,0.77651,1.8
5255,-92.577164,0.7031,0.70253,0.77652,1.8
5256,-91.171104,0.70286,0.70219,0.77647,1.8
5257,90.33783,0.7025,0.7022,0.77648,1.8
5258,-54.617592,0.70264,0.70197,0.77645,1.8
5259,-41.095497,0.70262,0.70198,0.77645,1.8
5260,24.742847,0.70247,0.70197,0.7764,1.8
5261,-56.555058,0.70254,0.7018,0.77638,1.8
5262,34.847969,0.70236,0.70185,0.77643,1.8
5263,11.707956,0.70261,0.70213,0.77646,1.8
5264,-60.0667,0.70269,0.70203,0.77646,1.8
5265,1.711715,0.70258,0.70206,0.77648,1.8
5266,84.146896,0.70255,0.70227,0.7765,1.8
5267,27.197695,0.70264,0.70223,0.77652,1.8
5268,86.242645,0.70257,0.7023,0.7765,1.8
5269,41.44426,0.70275,0.70242,0.77655,1.8
5270,55.796413,0.70282,0.70257,0.77658,1.8
5271,15.065433,0.70307,0.70281,0.77656,1.8
5272,-0.738559,0.70302,0.70269,0.77659,1.8
5273,-3.873151,0.70309,0.70279,0.77659,1.8
5274,-14.971277,0.70321,0.70292,0.77664,1.8
5275,-0.092865,0.70319,0.70295,0.77668,1.8
5276,-54.365349,0.70342,0.7031,0.77667,1.8
5277,-33.10804,0.7033,0.70299,0.77663,1.8
5278,-45.179878,0.70359,0.70338,0.77665,1.8
5279,73.908447,0.7034,0.70347,0.77668,1.8
5280,-76.52211,0.7036,0.70331,0.77671,1.8
5281,-17.294071,0.70363,0.70353,0.77667,1.8
5282,-64.490822,0.70354,0.70325,0.77673,1.8
5283,2.883163,0.70347,0.70337,0.77667,1.8
5284,-41.342014,0.70338,0.70309,0.77666,1.8
5285,71.968369,0.70307,0.70299,0.7766,1.8
5286,-30.331558,0.70327,0.70296,0.77663,1.8
5287,-34.807644,0.70318,0.70281,0.77658,1.8
5288,48.566788,0.70297,0.70278,0.7765,1.8
5289,-14.517794,0.70305,0.70268,0.77652,1.8
5290,-38.634739,0.70298,0.70251,0.77651,1.8
5291,18.620171,0.70286,0.70252,0.77649,1.8
5292,-36.065426,0.70283,0.70229,0.77642,1.8
5293,35.354725,0.70258,0.70217,0.77649,1.8
5294,-27.058243,0.7026,0.70199,0.77642,1.8
5295,-44.849209,0.70265,0.702,0.7764,1.8
5296,53.104355,0.70246,0.70205,0.77644,1.8
5297,-54.070164,0.70254,0.70181,0.77637,1.8
5298,-104.867188,0.70275,0.70199,0.77639,1.8
5299,2.080293,0.70246,0.70188,0.77639,1.8
5300,25.059053,0.70246,0.70195,0.77641,1.8
5301,-9.463031,0.7025,0.7019,0.77643,1.8
5302,-52.433075,0.70272,0.70209,0.77646,1.8
5303,11.950261,0.70256,0.70206,0.77646,1.8
5304,-129.623932,0.70289,0.70211,0.77648,1.8
5305,31.555515,0.7027,0.70232,0.7765,1.8
5306,-11.041834,0.70275,0.70225,0.77654,1.8
5307,-63.509457,0.70291,0.70233,0.77651,1.8
5308,-109.763641,0.70302,0.70237,0.77656,1.8
5309,70.162048,0.70278,0.70256,0.77658,1.8
5310,184.434418,0.70286,0.70299,0.77659,1.8
5311,28.132349,0.703,0.70276,0.77667,1.8
5312,-12.826013,0.70316,0.70285,0.77661,1.8
5313,-40.479145,0.70334,0.70302,0.77666,1.8
5314,-81.686401,0.70353,0.70319,0.77661,1.8
5315,-32.784542,0.7035,0.70329,0.77667,1.8
5316,-64.660538,0.7036,0.70333,0.77663,1.8
5317,-69.453659,0.70354,0.70323,0.77664,1.8
5318,-103.26828,0.70333,0.70283,0.77663,1.8
5319,-116.113556,0.70337,0.70286,0.77654,1.8
5320,64.702972,0.70303,0.70291,0.77657,1.8
5321,-48.587505,0.70311,0.70267,0.77652,1.8
5322,33.47081,0.70275,0.7024,0.77656,1.8
5323,-30.291687,0.7028,0.70226,0.77647,1.8
5324,-115.396614,0.70292,0.70221,0.77653,1.8
5325,-19.411634,0.70253,0.70191,0.77641,1.8
5326,-0.143915,0.70256,0.70202,0.77642,1.8
5327,-58.329723,0.70268,0.70201,0.77643,1.8
5328,-22.132719,0.70247,0.70181,0.77644,1.8
5329,-28.611719,0.70232,0.70158,0.77637,1.8
5330,48.774025,0.70219,0.70163,0.77635,1.8
5331,93.611664,0.70213,0.70167,0.77636,1.8
5332,-10.857185,0.70227,0.70156,0.77638,1.8
5333,39.064346,0.70222,0.70165,0.77639,1.8
5334,78.558296,0.70212,0.70162,0.77638,1.8
5335,96.23307,0.70211,0.70165,0.77639,1.8
5336,-45.056305,0.70241,0.70165,0.77637,1.8
5337,89.745049,0.70221,0.70179,0.77643,1.8
5338,64.660538,0.70225,0.70177,0.7764,1.8
5339,48.336472,0.70236,0.70189,0.77643,1.8
5340,75.03109,0.70236,0.70196,0.77647,1.8
5341,11.281924,0.70263,0.70216,0.77648,1.8
5342,187.841934,0.70237,0.70227,0.77649,1.8
5343,-2.832757,0.70251,0.70193,0.77635,1.8
5344,6.054142,0.70256,0.70204,0.7764,1.8
5345,-12.75166,0.70266,0.70212,0.77644,1.8
5346,119.456802,0.70253,0.70233,0.77642,1.8
5347,48.649673,0.70273,0.70242,0.77647,1.8
5348,-15.350401,0.70305,0.70268,0.77648,1.8
5349,33.895432,0.70286,0.70257,0.77646,1.8
5350,102.53643,0.70278,0.70265,0.77646,1.8
5351,26.820147,0.70293,0.70265,0.77645,1.8
5352,-74.965378,0.70303,0.70248,0.77641,1.8
5353,46.36245,0.70278,0.70249,0.77642,1.8
5354,-10.562922,0.70284,0.70239,0.77635,1.8
5355,140.544937,0.70253,0.70238,0.77642,1.8
5356,63.509457,0.70266,0.70237,0.77637,1.8
5357,48.858158,0.70251,0.7021,0.7764,1.8
5358,-94.645836,0.70271,0.70195,0.77632,1.8
5359,27.834101,0.7024,0.70187,0.77634,1.8
5360,89.766861,0.7024,0.70206,0.77632,1.8
5361,-29.730442,0.70236,0.70163,0.77626,1.8
5362,116.920074,0.70208,0.70166,0.77629,1.8
5363,159.605087,0.70204,0.70173,0.77631,1.8
5364,-9.353161,0.70233,0.70164,0.7763,1.8
5365,-46.963791,0.70249,0.70176,0.77633,1.8
5366,16.243521,0.70241,0.70186,0.77634,1.8
5367,-5.458422,0.70247,0.70187,0.77637,1.8
5368,-50.04707,0.7026,0.70192,0.77635,1.8
5369,-5.984166,0.7027,0.7022,0.77639,1.8
5370,-59.726902,0.70267,0.702,0.77637,1.8
5371,-66.327187,0.70279,0.70215,0.77639,1.8
5372,-36.024986,0.70285,0.70233,0.77644,1.8
5373,14.971277,0.70276,0.70237,0.77648,1.8
5374,41.588646,0.70277,0.70246,0.77648,1.8
5375,-53.187855,0.70297,0.70246,0.77655,1.8
5376,-14.971277,0.70297,0.70256,0.7765,1.8
5377,26.839884,0.70294,0.70267,0.7765,1.8
5378,41.568192,0.70313,0.70299,0.77659,1.8
5379,-6.79686,0.70326,0.70302,0.77659,1.8
5380,104.711235,0.70308,0.7031,0.77654,1.8
5381,55.564678,0.70307,0.70294,0.77655,1.8
5382,-1.887314,0.70297,0.70261,0.77651,1.8
5383,128.402908,0.70297,0.703,0.77651,1.8
5384,4.902295,0.70308,0.7028,0.77653,1.8
5385,-86.439545,0.70304,0.70246,0.77647,1.8
5386,-14.441587,0.70298,0.70258,0.77646,1.8
5387,-34.361954,0.70288,0.70237,0.77643,1.8
5388,56.365013,0.70263,0.70229,0.77642,1.8
5389,120.625618,0.7025,0.7023,0.7764,1.8
5390,41.095497,0.70268,0.70233,0.77637,1.8
5391,5.197554,0.7025,0.70195,0.77639,1.8
5392,2.324255,0.70268,0.70221,0.77647,1.8
5393,133.701569,0.70239,0.70216,0.77645,1.8
5394,-70.055244,0.70247,0.70167,0.77641,1.8
5395,122.627594,0.70227,0.70196,0.77637,1.8
5396,103.26828,0.70223,0.70184,0.77634,1.8
5397,-45.843018,0.70236,0.70158,0.77629,1.8
5398,85.435005,0.70225,0.70183,0.77635,1.8
5399,30.832644,0.70223,0.70163,0.7763,1.8
5400,-20.379383,0.70242,0.70175,0.77631,1.8
